"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"grk1a";"1";"grk1a";"G protein-coupled receptor kinase 1 a [Source:ZFIN;Acc:ZDB-GENE-050823-1]";"245076";"258138";"1";"protein_coding";"ENSDARG00000058803"
"cenpe";"1";"CH211-129C2.4";"centromere protein E [Source:ZFIN;Acc:ZDB-GENE-060929-860]";"260039";"296057";"1";"protein_coding";"ENSDARG00000063385"
"gas6";"1";"CH211-129C2.3";"growth arrest-specific 6 [Source:ZFIN;Acc:ZDB-GENE-030131-7773]";"312784";"338445";"-1";"protein_coding";"ENSDARG00000007804"
"pros1";"1";"CH211-129C2.2";"protein S [Source:ZFIN;Acc:ZDB-GENE-061013-657]";"343292";"354166";"-1";"protein_coding";"ENSDARG00000068261"
"rasa3";"1";"CH211-129C2.7";"RAS p21 protein activator 3 [Source:ZFIN;Acc:ZDB-GENE-090313-21]";"357518";"411331";"-1";"protein_coding";"ENSDARG00000063371"
"tpp2";"1";"CH73-244F7.4";"tripeptidyl peptidase 2 [Source:ZFIN;Acc:ZDB-GENE-121214-290]";"418869";"443759";"1";"protein_coding";"ENSDARG00000078751"
"si:ch73-244f7.3";"1";"CH73-244F7.3";"si:ch73-244f7.3 [Source:ZFIN;Acc:ZDB-GENE-121214-178]";"454315";"462165";"-1";"protein_coding";"ENSDARG00000078878"
"zgc:92518";"1";"CH73-244F7.2";"zgc:92518 [Source:ZFIN;Acc:ZDB-GENE-040718-53]";"466780";"471925";"-1";"protein_coding";"ENSDARG00000016343"
"ercc5";"1";"ercc5";"excision repair cross-complementation group 5 [Source:ZFIN;Acc:ZDB-GENE-050327-28]";"474085";"494280";"-1";"protein_coding";"ENSDARG00000023678"
"blzf1";"1";"blzf1";"basic leucine zipper nuclear factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-1]";"494297";"505620";"1";"protein_coding";"ENSDARG00000011299"
"trmt10c";"1";"CH73-41E3.8";"tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:ZFIN;Acc:ZDB-GENE-041114-12]";"508885";"513786";"-1";"protein_coding";"ENSDARG00000041575"
"txnl4b";"1";"CH73-41E3.4";"thioredoxin-like 4B [Source:ZFIN;Acc:ZDB-GENE-051030-63]";"513986";"518076";"1";"protein_coding";"ENSDARG00000058962"
"si:ch73-41e3.7";"1";"CH73-41E3.7";"si:ch73-41e3.7 [Source:ZFIN;Acc:ZDB-GENE-090313-163]";"518853";"524433";"-1";"protein_coding";"ENSDARG00000089799"
"mrpl16";"1";"CH73-41E3.3";"mitochondrial ribosomal protein L16 [Source:ZFIN;Acc:ZDB-GENE-041122-1]";"524388";"532429";"1";"protein_coding";"ENSDARG00000075325"
"mrpl39";"1";"mrpl39";"mitochondrial ribosomal protein L39 [Source:ZFIN;Acc:ZDB-GENE-030131-6520]";"532766";"591331";"1";"protein_coding";"ENSDARG00000041570"
"CU571081.1";"1";"NULL";"C3a anaphylatoxin chemotactic receptor-like [Source:NCBI gene;Acc:101885604]";"552275";"558260";"-1";"protein_coding";"ENSDARG00000113329"
"jam2a";"1";"jam2";"junctional adhesion molecule 2a [Source:ZFIN;Acc:ZDB-GENE-031204-3]";"594584";"608247";"1";"protein_coding";"ENSDARG00000058996"
"atp5pf";"1";"atp5j";"ATP synthase peripheral stalk subunit F6 [Source:ZFIN;Acc:ZDB-GENE-040426-2534]";"610082";"614638";"-1";"protein_coding";"ENSDARG00000014313"
"appa";"1";"appa";"amyloid beta (A4) precursor protein a [Source:ZFIN;Acc:ZDB-GENE-000616-13]";"617620";"656693";"-1";"protein_coding";"ENSDARG00000104279"
"cyyr1";"1";"NULL";"cysteine/tyrosine-rich 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2356]";"658405";"669717";"-1";"protein_coding";"ENSDARG00000103783"
"adamts1";"1";"NULL";"ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:ZFIN;Acc:ZDB-GENE-070814-1]";"673163";"681116";"-1";"protein_coding";"ENSDARG00000103519"
"adamts5";"1";"NULL";"ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:NCBI gene;Acc:565053]";"691738";"714626";"-1";"protein_coding";"ENSDARG00000100307"
"gart";"1";"NULL";"phosphoribosylglycinamide formyltransferase [Source:ZFIN;Acc:ZDB-GENE-000616-14]";"960209";"999556";"-1";"protein_coding";"ENSDARG00000101089"
"n6amt1";"1";"NULL";"N-6 adenine-specific DNA methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040718-206]";"961607";"970951";"1";"protein_coding";"ENSDARG00000115421"
"runx1";"1";"NULL";"RUNX family transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-000605-1]";"1362932";"1402303";"-1";"protein_coding";"ENSDARG00000087646"
"urp2";"1";"CH73-272O12.1";"urotensin II-related peptide [Source:ZFIN;Acc:ZDB-GENE-110718-3]";"1599979";"1614500";"1";"protein_coding";"ENSDARG00000067781"
"clic6";"1";"CH73-272O12.2";"chloride intracellular channel 6 [Source:ZFIN;Acc:ZDB-GENE-121214-172]";"1618994";"1631399";"-1";"protein_coding";"ENSDARG00000099108"
"atp1a1a.4";"1";"atp1a1a.4";"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]";"1689775";"1706159";"1";"protein_coding";"ENSDARG00000001870"
"atp1a1a.1";"1";"atp1a1";"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-001212-1]";"1712140";"1793371";"1";"protein_coding";"ENSDARG00000002791"
"atp1a1a.2";"1";"atp1a1a.2";"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-001212-2]";"1789357";"1796832";"1";"protein_coding";"ENSDARG00000007739"
"atp1a1a.3";"1";"atp1a1a.3";"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-001212-3]";"1805294";"1815660";"1";"protein_coding";"ENSDARG00000039131"
"atp1a1a.5";"1";"atp1a1a.5";"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 5 [Source:ZFIN;Acc:ZDB-GENE-020501-1]";"1838164";"1850104";"1";"protein_coding";"ENSDARG00000040252"
"si:ch211-132g1.3";"1";"CH211-132G1.3";"si:ch211-132g1.3 [Source:ZFIN;Acc:ZDB-GENE-090312-148]";"1870861";"1928122";"-1";"protein_coding";"ENSDARG00000089477"
"si:ch211-132g1.6";"1";"CH211-132G1.6";"si:ch211-132g1.6 [Source:ZFIN;Acc:ZDB-GENE-091204-469]";"1896737";"1899848";"1";"protein_coding";"ENSDARG00000093102"
"si:ch211-132g1.4";"1";"CH211-132G1.4";"si:ch211-132g1.4 [Source:ZFIN;Acc:ZDB-GENE-090313-26]";"1904419";"1911381";"1";"protein_coding";"ENSDARG00000095102"
"si:ch211-132g1.1";"1";"CH211-132G1.1";"si:ch211-132g1.1 [Source:ZFIN;Acc:ZDB-GENE-090313-24]";"1915967";"1923253";"1";"protein_coding";"ENSDARG00000040250"
"si:ch211-132g1.7";"1";"CH211-132G1.7";"si:ch211-132g1.7 [Source:ZFIN;Acc:ZDB-GENE-121214-287]";"1941031";"2000357";"1";"protein_coding";"ENSDARG00000075505"
"slc5a3a";"1";"CH211-132G1.5";"solute carrier family 5 member 3a [Source:ZFIN;Acc:ZDB-GENE-090312-3]";"2025085";"2027100";"1";"protein_coding";"ENSDARG00000010376"
"oxgr1a.1";"1";"DKEY-181L4.1";"oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060421-6734]";"2048047";"2051599";"-1";"protein_coding";"ENSDARG00000033684"
"oxgr1a.3";"1";"DKEY-181L4.3";"oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-090312-23]";"2060430";"2061419";"-1";"protein_coding";"ENSDARG00000040247"
"oxgr1a.2";"1";"DKEY-181L4.2";"oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-090312-1]";"2074513";"2075529";"-1";"protein_coding";"ENSDARG00000078743"
"mbnl2";"1";"mbnl2";"muscleblind-like splicing regulator 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9582]";"2101541";"2217861";"1";"protein_coding";"ENSDARG00000018460"
"rap2ab";"1";"DKEYP-67E7.1";"RAP2A, member of RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-090312-116]";"2222363";"2240119";"1";"protein_coding";"ENSDARG00000040246"
"kpnb3";"1";"kpnb3";"karyopherin (importin) beta 3 [Source:ZFIN;Acc:ZDB-GENE-030424-2]";"2260407";"2299553";"1";"protein_coding";"ENSDARG00000040245"
"farp1";"1";"CH211-235F1.1";"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived) [Source:ZFIN;Acc:ZDB-GENE-070424-163]";"2301958";"2444210";"1";"protein_coding";"ENSDARG00000074381"
"si:ch211-235f1.3";"1";"CH211-235F1.3";"si:ch211-235f1.3 [Source:ZFIN;Acc:ZDB-GENE-091204-440]";"2331637";"2334254";"-1";"protein_coding";"ENSDARG00000095179"
"ggact.3";"1";"CH73-269M4.3";"gamma-glutamylamine cyclotransferase, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-070424-26]";"2446996";"2453185";"-1";"protein_coding";"ENSDARG00000070579"
"ggact.2";"1";"CH73-269M4.2";"gamma-glutamylamine cyclotransferase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040912-8]";"2450140";"2453174";"-1";"protein_coding";"ENSDARG00000038248"
"ggact.1";"1";"CH73-269M4.1";"gamma-glutamylamine cyclotransferase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-061103-94]";"2454094";"2457546";"-1";"protein_coding";"ENSDARG00000070581"
"gpc6a";"1";"NULL";"glypican 6a [Source:ZFIN;Acc:ZDB-GENE-071004-15]";"2712956";"3036019";"1";"protein_coding";"ENSDARG00000103156"
"gpc5a";"1";"NULL";"glypican 5a [Source:ZFIN;Acc:ZDB-GENE-140106-260]";"3100244";"3295045";"-1";"protein_coding";"ENSDARG00000103647"
"slitrk6";"1";"NULL";"SLIT and NTRK-like family, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-2816]";"4101741";"4154332";"1";"protein_coding";"ENSDARG00000098769"
"spry2";"1";"spry2";"sprouty RTK signaling antagonist 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7038]";"5273481";"5277583";"1";"protein_coding";"ENSDARG00000078308"
"ndfip2";"1";"CH211-172N16.6";"Nedd4 family interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2662]";"5354489";"5394791";"-1";"protein_coding";"ENSDARG00000033928"
"tuba8l2";"1";"tuba8l2";"tubulin, alpha 8 like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1646]";"5402476";"5419116";"1";"protein_coding";"ENSDARG00000031164"
"stk16";"1";"CH211-172N16.5";"serine/threonine kinase 16 [Source:ZFIN;Acc:ZDB-GENE-050417-102]";"5422439";"5434261";"1";"protein_coding";"ENSDARG00000037777"
"atic";"1";"atic";"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:ZFIN;Acc:ZDB-GENE-011212-4]";"5437390";"5504130";"1";"protein_coding";"ENSDARG00000016706"
"mnx2b";"1";"hlxb9lb";"motor neuron and pancreas homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-040415-2]";"5449777";"5455502";"-1";"protein_coding";"ENSDARG00000030350"
"fn1b";"1";"fn1b";"fibronectin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-6545]";"5504128";"5543065";"-1";"protein_coding";"ENSDARG00000006526"
"cpo";"1";"CH73-76B22.2";"carboxypeptidase O [Source:ZFIN;Acc:ZDB-GENE-070619-6]";"5576151";"5587575";"1";"protein_coding";"ENSDARG00000077688"
"nrp2a";"1";"nrp2a";"neuropilin 2a [Source:ZFIN;Acc:ZDB-GENE-040611-2]";"5606460";"5746030";"-1";"protein_coding";"ENSDARG00000096546"
"pard3ba";"1";"NULL";"par-3 family cell polarity regulator beta a [Source:ZFIN;Acc:ZDB-GENE-080225-12]";"5798548";"6028876";"-1";"protein_coding";"ENSDARG00000092671"
"pard3ba";"1";"CH1073-345A8.1";"par-3 family cell polarity regulator beta a [Source:ZFIN;Acc:ZDB-GENE-080225-12]";"6068436";"6085750";"-1";"protein_coding";"ENSDARG00000113935"
"abcb6a";"1";"abcb6";"ATP-binding cassette, sub-family B (MDR/TAP), member 6a [Source:ZFIN;Acc:ZDB-GENE-050517-9]";"6135176";"6158609";"1";"protein_coding";"ENSDARG00000063297"
"cnppd1";"1";"c2orf24";"cyclin Pas1/PHO80 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6808]";"6161930";"6172328";"1";"protein_coding";"ENSDARG00000027078"
"prkag3a";"1";"PRKAG3";"protein kinase, AMP-activated, gamma 3a non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-091204-419]";"6171585";"6185532";"1";"protein_coding";"ENSDARG00000017537"
"retreg2";"1";"fam134a";"reticulophagy regulator family member 2 [Source:ZFIN;Acc:ZDB-GENE-061215-128]";"6189949";"6210718";"1";"protein_coding";"ENSDARG00000063270"
"mdh1b";"1";"CH211-103I6.3";"malate dehydrogenase 1B, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-060929-384]";"6218632";"6225285";"-1";"protein_coding";"ENSDARG00000018008"
"fastkd2";"1";"CH211-103I6.5";"FAST kinase domains 2 [Source:ZFIN;Acc:ZDB-GENE-090313-7]";"6225493";"6243978";"1";"protein_coding";"ENSDARG00000074031"
"gtf3c3";"1";"NULL";"general transcription factor IIIC, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-040914-80]";"6243906";"6272146";"1";"protein_coding";"ENSDARG00000043247"
"LO018629.1";"1";"NULL";"NULL";"6307305";"6329292";"1";"protein_coding";"ENSDARG00000113848"
"hecw2b";"1";"hecw2b";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2b [Source:ZFIN;Acc:ZDB-GENE-101001-3]";"6357059";"6366066";"1";"protein_coding";"ENSDARG00000063253"
"klf7a";"1";"klf7";"Kruppel-like factor 7a [Source:ZFIN;Acc:ZDB-GENE-050522-276]";"6403551";"6494384";"-1";"protein_coding";"ENSDARG00000073857"
"si:ch211-93g23.2";"1";"CH211-93G23.2";"si:ch211-93g23.2 [Source:ZFIN;Acc:ZDB-GENE-090312-164]";"6640437";"6646356";"1";"protein_coding";"ENSDARG00000070558"
"ube2f";"1";"CH211-93G23.1";"ubiquitin-conjugating enzyme E2F (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-2557]";"6646529";"6664123";"1";"protein_coding";"ENSDARG00000025754"
"erbb4a";"1";"erbb4a";"erb-b2 receptor tyrosine kinase 4a [Source:ZFIN;Acc:ZDB-GENE-030918-4]";"6817292";"6925407";"1";"protein_coding";"ENSDARG00000063207"
"ERBB4 (1 of many)";"1";"CH73-383L1.1";"erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]";"7189856";"7448795";"1";"protein_coding";"ENSDARG00000090408"
"lancl1";"1";"lancl1";"LanC antibiotic synthetase component C-like 1 (bacterial) [Source:ZFIN;Acc:ZDB-GENE-040924-1]";"7517449";"7539716";"1";"protein_coding";"ENSDARG00000013741"
"mylz3";"1";"mylz3";"myosin, light polypeptide 3, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-000322-6]";"7538909";"7554463";"1";"protein_coding";"ENSDARG00000017441"
"pcnp";"1";"DKEY-197A6.4";"PEST proteolytic signal containing nuclear protein [Source:ZFIN;Acc:ZDB-GENE-041010-130]";"7556965";"7561222";"1";"protein_coding";"ENSDARG00000037713"
"mxa";"1";"mxa";"myxovirus (influenza) resistance A [Source:ZFIN;Acc:ZDB-GENE-030721-5]";"7562316";"7570181";"-1";"protein_coding";"ENSDARG00000021688"
"mxb";"1";"mxb";"myxovirus (influenza) resistance B [Source:ZFIN;Acc:ZDB-GENE-030721-6]";"7574351";"7603734";"-1";"protein_coding";"ENSDARG00000004953"
"efnb2b";"1";"efnb2b";"ephrin-B2b [Source:ZFIN;Acc:ZDB-GENE-010618-1]";"7632119";"7659870";"-1";"protein_coding";"ENSDARG00000074050"
"arglu1b";"1";"arglu1b";"arginine and glutamate rich 1b [Source:ZFIN;Acc:ZDB-GENE-040426-736]";"7662091";"7673376";"-1";"protein_coding";"ENSDARG00000018319"
"en1b";"1";"eng1b";"engrailed homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-6]";"7679328";"7683372";"1";"protein_coding";"ENSDARG00000098730"
"radil";"1";"radil";"Ras association and DIL domains [Source:ZFIN;Acc:ZDB-GENE-071206-1]";"7847787";"7894255";"-1";"protein_coding";"ENSDARG00000079779"
"mmd2b";"1";"DKEY-79F11.12";"monocyte to macrophage differentiation-associated 2b [Source:ZFIN;Acc:ZDB-GENE-090313-336]";"7908282";"7917062";"-1";"protein_coding";"ENSDARG00000089090"
"si:dkey-79f11.10";"1";"DKEY-79F11.10";"si:dkey-79f11.10 [Source:ZFIN;Acc:ZDB-GENE-050302-48]";"7924956";"7930679";"-1";"protein_coding";"ENSDARG00000093857"
"si:dkey-79f11.9";"1";"DKEY-79F11.9";"si:dkey-79f11.9 [Source:ZFIN;Acc:ZDB-GENE-090313-339]";"7936270";"7939514";"-1";"protein_coding";"ENSDARG00000095309"
"si:dkey-79f11.8";"1";"DKEY-79F11.8";"si:dkey-79f11.8 [Source:ZFIN;Acc:ZDB-GENE-030131-4806]";"7946842";"7951002";"-1";"protein_coding";"ENSDARG00000095673"
"CR855320.1";"1";"NULL";"NULL";"7956030";"7961696";"1";"protein_coding";"ENSDARG00000099359"
"si:dkey-79f11.7";"1";"DKEY-79F11.7";"si:dkey-79f11.7 [Source:ZFIN;Acc:ZDB-GENE-090313-338]";"7964276";"7975769";"-1";"protein_coding";"ENSDARG00000092361"
"CR855320.2";"1";"NULL";"NULL";"7988052";"7989314";"1";"protein_coding";"ENSDARG00000103767"
"si:dkey-79f11.5";"1";"DKEY-79F11.5";"si:dkey-79f11.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9145]";"7993632";"8000428";"-1";"protein_coding";"ENSDARG00000075791"
"CR855320.3";"1";"NULL";"si:dkey-79f11.10 [Source:NCBI gene;Acc:100007523]";"8001435";"8012476";"-1";"protein_coding";"ENSDARG00000107486"
"si:dkeyp-9d4.2";"1";"DKEYP-9D4.2";"si:dkeyp-9d4.2 [Source:ZFIN;Acc:ZDB-GENE-090312-156]";"8017069";"8020589";"-1";"protein_coding";"ENSDARG00000029720"
"si:dkeyp-9d4.3";"1";"DKEYP-9D4.3";"si:dkeyp-9d4.3 [Source:ZFIN;Acc:ZDB-GENE-110914-175]";"8022320";"8101495";"-1";"protein_coding";"ENSDARG00000100166"
"SLC5A10";"1";"DKEYP-9D4.5";"solute carrier family 5 member 10 [Source:HGNC Symbol;Acc:HGNC:23155]";"8110562";"8163167";"1";"protein_coding";"ENSDARG00000074212"
"FAM83G";"1";"DKEYP-9D4.4";"family with sequence similarity 83 member G [Source:HGNC Symbol;Acc:HGNC:32554]";"8127675";"8141135";"-1";"protein_coding";"ENSDARG00000062929"
"grapb";"1";"DKEYP-9D4.1";"GRB2 related adaptor protein b [Source:ZFIN;Acc:ZDB-GENE-050913-4]";"8165340";"8192418";"-1";"protein_coding";"ENSDARG00000022668"
"cacna1hb";"1";"CH211-22N13.1";"calcium channel, voltage-dependent, T type, alpha 1H subunit b [Source:ZFIN;Acc:ZDB-GENE-090312-128]";"8304904";"8404005";"1";"protein_coding";"ENSDARG00000099708"
"syngr3b";"1";"CH211-201P7.3";"synaptogyrin 3b [Source:ZFIN;Acc:ZDB-GENE-070822-6]";"8415983";"8428761";"-1";"protein_coding";"ENSDARG00000025034"
"myo15ab";"1";"CH211-201P7.8";"myosin XVAb [Source:ZFIN;Acc:ZDB-GENE-090312-149]";"8442071";"8507230";"1";"protein_coding";"ENSDARG00000078474"
"alkbh5";"1";"alkbh5";"alkB homolog 5, RNA demethylase [Source:ZFIN;Acc:ZDB-GENE-061013-602]";"8508753";"8516595";"1";"protein_coding";"ENSDARG00000063003"
"mief2";"1";"smcr7";"mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]";"8521323";"8532009";"1";"protein_coding";"ENSDARG00000002377"
"smcr8b";"1";"smcr8b";"Smith-Magenis syndrome chromosome region, candidate 8b [Source:ZFIN;Acc:ZDB-GENE-061122-1]";"8534698";"8540050";"1";"protein_coding";"ENSDARG00000015803"
"zgc:112980";"1";"CH211-160D14.2";"zgc:112980 [Source:ZFIN;Acc:ZDB-GENE-050306-1]";"8539671";"8553298";"-1";"protein_coding";"ENSDARG00000037739"
"ptcd1";"1";"CH211-160D14.8";"pentatricopeptide repeat domain 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6146]";"8555323";"8566567";"-1";"protein_coding";"ENSDARG00000076176"
"AL928650.4";"1";"NULL";"NULL";"8579197";"8586066";"1";"protein_coding";"ENSDARG00000113858"
"si:ch211-160d14.15";"1";"CH211-160D14.15";"si:ch211-160d14.15 [Source:ZFIN;Acc:ZDB-GENE-141216-220]";"8593560";"8597015";"1";"protein_coding";"ENSDARG00000100771"
"si:ch211-160d14.6";"1";"CH211-160D14.6";"si:ch211-160d14.6 [Source:ZFIN;Acc:ZDB-GENE-121214-93]";"8601935";"8610564";"1";"protein_coding";"ENSDARG00000079873"
"fbxl18";"1";"fbxl18";"F-box and leucine-rich repeat protein 18 [Source:ZFIN;Acc:ZDB-GENE-050913-65]";"8638162";"8646941";"-1";"protein_coding";"ENSDARG00000007443"
"actb1";"1";"bactin1";"actin, beta 1 [Source:ZFIN;Acc:ZDB-GENE-000329-1]";"8649099";"8653385";"-1";"protein_coding";"ENSDARG00000037746"
"fscn1b";"1";"fscn1b";"fascin actin-bundling protein 1b [Source:ZFIN;Acc:ZDB-GENE-120507-1]";"8662530";"8670486";"1";"protein_coding";"ENSDARG00000037747"
"abcg2b";"1";"abcg2b";"ATP-binding cassette, sub-family G (WHITE), member 2b [Source:ZFIN;Acc:ZDB-GENE-050517-36]";"8673061";"8691969";"-1";"protein_coding";"ENSDARG00000079361"
"zgc:77849";"1";"DKEY-20I6.3";"zgc:77849 [Source:ZFIN;Acc:ZDB-GENE-030131-1107]";"8694196";"8702684";"1";"protein_coding";"ENSDARG00000012458"
"grin2ab";"1";"grin2ab";"glutamate receptor, ionotropic, N-methyl D-aspartate 2A, b [Source:ZFIN;Acc:ZDB-GENE-070424-223]";"8763429";"8928841";"-1";"protein_coding";"ENSDARG00000070543"
"socs1b";"1";"CH73-191K20.2";"suppressor of cytokine signaling 1b [Source:ZFIN;Acc:ZDB-GENE-090313-141]";"8962624";"8966046";"-1";"protein_coding";"ENSDARG00000089873"
"si:ch73-191k20.3";"1";"CH73-191K20.3";"si:ch73-191k20.3 [Source:ZFIN;Acc:ZDB-GENE-090312-62]";"8978908";"8980665";"-1";"protein_coding";"ENSDARG00000094206"
