"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"ENSLOCG00000014312";"1";"NULL";"nudix hydrolase 20, chloroplastic-like [Source:NCBI gene;Acc:102684435]";"186615";"189854";"-1";"protein_coding";"ENSLOCG00000014312"
"RBM10 (1 of many)";"1";"NULL";"RNA binding motif protein 10 [Source:HGNC Symbol;Acc:HGNC:9896]";"211805";"217374";"1";"protein_coding";"ENSLOCG00000014313"
"si:dkey-6n6.2";"1";"NULL";"si:dkey-6n6.2 [Source:ZFIN;Acc:ZDB-GENE-060503-173]";"218786";"223832";"-1";"protein_coding";"ENSLOCG00000014316"
"CFP";"1";"NULL";"complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]";"224300";"232813";"1";"protein_coding";"ENSLOCG00000014318"
"arhgef3l";"1";"NULL";"Rho guanine nucleotide exchange factor (GEF) 3, like [Source:ZFIN;Acc:ZDB-GENE-050522-85]";"232215";"245956";"-1";"protein_coding";"ENSLOCG00000014322"
"uba1";"1";"NULL";"ubiquitin-like modifier activating enzyme 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2009]";"245901";"263264";"-1";"protein_coding";"ENSLOCG00000014330"
"camkvl";"1";"NULL";"CaM kinase-like vesicle-associated, like [Source:ZFIN;Acc:ZDB-GENE-090311-58]";"272128";"281832";"-1";"protein_coding";"ENSLOCG00000014337"
"ENSLOCG00000014340";"1";"NULL";"NULL";"283385";"310256";"-1";"protein_coding";"ENSLOCG00000014340"
"tbc1d25";"1";"NULL";"TBC1 domain family, member 25 [Source:ZFIN;Acc:ZDB-GENE-041111-25]";"341349";"349250";"-1";"protein_coding";"ENSLOCG00000014341"
"fkbpl";"1";"NULL";"FKBP prolyl isomerase like [Source:ZFIN;Acc:ZDB-GENE-030131-4744]";"350981";"352966";"-1";"protein_coding";"ENSLOCG00000014344"
"ebp";"1";"NULL";"EBP cholestenol delta-isomerase [Source:ZFIN;Acc:ZDB-GENE-040718-12]";"354779";"358655";"-1";"protein_coding";"ENSLOCG00000014346"
"porcn";"1";"NULL";"porcupine O-acyltransferase [Source:ZFIN;Acc:ZDB-GENE-081105-87]";"369881";"377299";"1";"protein_coding";"ENSLOCG00000014348"
"ENSLOCG00000014357";"1";"NULL";"NULL";"379588";"379878";"-1";"protein_coding";"ENSLOCG00000014357"
"si:dkey-16n15.6";"1";"NULL";"si:dkey-16n15.6 [Source:ZFIN;Acc:ZDB-GENE-110411-70]";"383831";"389649";"1";"protein_coding";"ENSLOCG00000014358"
"wdr13";"1";"NULL";"WD repeat domain 13 [Source:ZFIN;Acc:ZDB-GENE-050522-274]";"392710";"400237";"1";"protein_coding";"ENSLOCG00000014362"
"ENSLOCG00000014366";"1";"NULL";"NULL";"404837";"430128";"1";"protein_coding";"ENSLOCG00000014366"
"ENSLOCG00000014369";"1";"NULL";"C-type lectin domain family 6 member A-like [Source:NCBI gene;Acc:102686921]";"420568";"424580";"1";"protein_coding";"ENSLOCG00000014369"
"ENSLOCG00000014373";"1";"NULL";"tripartite motif-containing protein 16-like [Source:NCBI gene;Acc:102687124]";"434203";"439335";"1";"protein_coding";"ENSLOCG00000014373"
"si:ch211-207e14.4";"1";"NULL";"si:ch211-207e14.4 [Source:ZFIN;Acc:ZDB-GENE-030131-3405]";"441992";"459368";"1";"protein_coding";"ENSLOCG00000014378"
"ENSLOCG00000014382";"1";"NULL";"NULL";"462211";"466919";"-1";"protein_coding";"ENSLOCG00000014382"
"araf";"1";"NULL";"A-Raf proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-050102-2]";"472351";"491436";"-1";"protein_coding";"ENSLOCG00000014384"
"ENSLOCG00000014394";"1";"NULL";"tubulin alpha 3e [Source:NCBI gene;Acc:102687936]";"503975";"507016";"1";"protein_coding";"ENSLOCG00000014394"
"imp4";"1";"NULL";"IMP U3 small nucleolar ribonucleoprotein 4 [Source:ZFIN;Acc:ZDB-GENE-040718-474]";"509638";"516252";"-1";"protein_coding";"ENSLOCG00000014398"
"syn1";"1";"NULL";"synapsin I [Source:ZFIN;Acc:ZDB-GENE-081105-93]";"523177";"584931";"-1";"protein_coding";"ENSLOCG00000014401"
"ENSLOCG00000014410";"1";"NULL";"metalloproteinase inhibitor 4-like [Source:NCBI gene;Acc:102683903]";"549388";"553132";"1";"protein_coding";"ENSLOCG00000014410"
"vgll4l";"1";"NULL";"vestigial like 4 like [Source:ZFIN;Acc:ZDB-GENE-070112-1682]";"610155";"616246";"1";"protein_coding";"ENSLOCG00000014414"
"ccdc115";"1";"NULL";"coiled-coil domain containing 115 [Source:ZFIN;Acc:ZDB-GENE-050227-20]";"633757";"638084";"-1";"protein_coding";"ENSLOCG00000014417"
"ENSLOCG00000014418";"1";"NULL";"NACHT, LRR and PYD domains-containing protein 6-like [Source:NCBI gene;Acc:102688951]";"650814";"659343";"-1";"protein_coding";"ENSLOCG00000014418"
"suv39h1b";"1";"NULL";"suppressor of variegation 3-9 homolog 1b [Source:ZFIN;Acc:ZDB-GENE-030131-5105]";"662658";"672617";"1";"protein_coding";"ENSLOCG00000014420"
"ENSLOCG00000014423";"1";"NULL";"NULL";"680761";"688657";"1";"protein_coding";"ENSLOCG00000014423"
"gpr173";"1";"NULL";"G protein-coupled receptor 173 [Source:ZFIN;Acc:ZDB-GENE-000710-1]";"706143";"707342";"-1";"protein_coding";"ENSLOCG00000017977"
"ENSLOCG00000014425";"1";"NULL";"NULL";"730965";"732444";"-1";"protein_coding";"ENSLOCG00000014425"
"foxp3b";"1";"NULL";"forkhead box P3b [Source:ZFIN;Acc:ZDB-GENE-081104-332]";"750641";"787969";"1";"protein_coding";"ENSLOCG00000014427"
"sema3ga";"1";"NULL";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ga [Source:ZFIN;Acc:ZDB-GENE-050513-3]";"812044";"820595";"-1";"protein_coding";"ENSLOCG00000014436"
"tspy";"1";"NULL";"testis specific protein Y-linked [Source:ZFIN;Acc:ZDB-GENE-030131-9158]";"882829";"892021";"-1";"protein_coding";"ENSLOCG00000014443"
"wasb";"1";"NULL";"WASP actin nucleation promoting factor b [Source:ZFIN;Acc:ZDB-GENE-030131-7098]";"895331";"912031";"-1";"protein_coding";"ENSLOCG00000014446"
"slc38a5a";"1";"NULL";"solute carrier family 38 member 5a [Source:ZFIN;Acc:ZDB-GENE-081105-92]";"912486";"937957";"-1";"protein_coding";"ENSLOCG00000014448"
"ccdc22";"1";"NULL";"coiled-coil domain containing 22 [Source:ZFIN;Acc:ZDB-GENE-050913-93]";"957984";"973472";"1";"protein_coding";"ENSLOCG00000014464"
"apex2";"1";"NULL";"APEX nuclease (apurinic/apyrimidinic endonuclease) 2 [Source:ZFIN;Acc:ZDB-GENE-040426-835]";"974189";"978967";"-1";"protein_coding";"ENSLOCG00000014467"
"zgc:162200";"1";"NULL";"zgc:162200 [Source:ZFIN;Acc:ZDB-GENE-030131-2989]";"979292";"1000044";"1";"protein_coding";"ENSLOCG00000014473"
"nt5dc2";"1";"NULL";"5'-nucleotidase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-060810-17]";"1009835";"1035841";"1";"protein_coding";"ENSLOCG00000014477"
"si:ch211-218o21.4";"1";"NULL";"si:ch211-218o21.4 [Source:ZFIN;Acc:ZDB-GENE-081104-178]";"1045520";"1049186";"1";"protein_coding";"ENSLOCG00000014487"
"renbp";"1";"NULL";"renin binding protein [Source:ZFIN;Acc:ZDB-GENE-041212-34]";"1052498";"1059709";"1";"protein_coding";"ENSLOCG00000014488"
"si:dkey-109j17.5";"1";"NULL";"si:dkey-109j17.5 [Source:ZFIN;Acc:ZDB-GENE-090313-173]";"1063390";"1067380";"-1";"protein_coding";"ENSLOCG00000014494"
"ptpn18";"1";"NULL";"protein tyrosine phosphatase non-receptor type 18 [Source:ZFIN;Acc:ZDB-GENE-050320-12]";"1071427";"1097349";"-1";"protein_coding";"ENSLOCG00000014499"
"mon1bb";"1";"NULL";"MON1 secretory trafficking family member Bb [Source:ZFIN;Acc:ZDB-GENE-030131-3790]";"1112253";"1120026";"1";"protein_coding";"ENSLOCG00000014503"
"gripap1";"1";"NULL";"GRIP1 associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-070112-922]";"1124803";"1167923";"1";"protein_coding";"ENSLOCG00000014510"
"kcnd1";"1";"NULL";"potassium voltage-gated channel, Shal-related subfamily, member 1 [Source:ZFIN;Acc:ZDB-GENE-081105-40]";"1212278";"1284595";"1";"protein_coding";"ENSLOCG00000014523"
"si:dkey-8e10.2";"1";"NULL";"si:dkey-8e10.2 [Source:ZFIN;Acc:ZDB-GENE-081104-441]";"1348307";"1370219";"1";"protein_coding";"ENSLOCG00000014533"
"si:dkey-8e10.3";"1";"NULL";"si:dkey-8e10.3 [Source:ZFIN;Acc:ZDB-GENE-081104-442]";"1379898";"1384517";"-1";"protein_coding";"ENSLOCG00000014538"
"alas2";"1";"NULL";"aminolevulinate, delta-, synthase 2 [Source:ZFIN;Acc:ZDB-GENE-001229-1]";"1411872";"1425539";"1";"protein_coding";"ENSLOCG00000014541"
"fam50a";"1";"NULL";"family with sequence similarity 50 member A [Source:ZFIN;Acc:ZDB-GENE-050417-110]";"1425975";"1434236";"1";"protein_coding";"ENSLOCG00000014548"
"ENSLOCG00000014554";"1";"NULL";"NULL";"1438145";"1447959";"-1";"protein_coding";"ENSLOCG00000014554"
"ENSLOCG00000014555";"1";"NULL";"NULL";"1453914";"1458816";"-1";"protein_coding";"ENSLOCG00000014555"
"comtb";"1";"NULL";"catechol-O-methyltransferase b [Source:ZFIN;Acc:ZDB-GENE-040724-164]";"1480835";"1488797";"1";"protein_coding";"ENSLOCG00000014559"
"abt1";"1";"NULL";"activator of basal transcription 1 [Source:ZFIN;Acc:ZDB-GENE-050522-127]";"1488637";"1491631";"-1";"protein_coding";"ENSLOCG00000014561"
"grm6a";"1";"NULL";"glutamate receptor, metabotropic 6a [Source:ZFIN;Acc:ZDB-GENE-060208-1]";"1504013";"1562096";"1";"protein_coding";"ENSLOCG00000014563"
"ENSLOCG00000014568";"1";"NULL";"NULL";"1565624";"1570630";"1";"protein_coding";"ENSLOCG00000014568"
"zgc:86609";"1";"NULL";"zgc:86609 [Source:ZFIN;Acc:ZDB-GENE-050102-7]";"1589916";"1594105";"-1";"protein_coding";"ENSLOCG00000014569"
"uxt";"1";"NULL";"ubiquitously-expressed, prefoldin-like chaperone [Source:ZFIN;Acc:ZDB-GENE-040912-118]";"1595204";"1601467";"1";"protein_coding";"ENSLOCG00000014570"
"elk1";"1";"NULL";"ETS transcription factor ELK1 [Source:ZFIN;Acc:ZDB-GENE-090529-5]";"1607586";"1629031";"1";"protein_coding";"ENSLOCG00000014572"
"si:ch211-180f4.1";"1";"NULL";"si:ch211-180f4.1 [Source:ZFIN;Acc:ZDB-GENE-080327-27]";"1664053";"1666284";"1";"protein_coding";"ENSLOCG00000017978"
"otud5a";"1";"NULL";"OTU deubiquitinase 5a [Source:ZFIN;Acc:ZDB-GENE-030616-61]";"1673378";"1731908";"1";"protein_coding";"ENSLOCG00000014573"
"pim2";"1";"NULL";"Pim-2 proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-000831-6]";"1735191";"1739596";"1";"protein_coding";"ENSLOCG00000014577"
"slc35a2";"1";"NULL";"solute carrier family 35 member 2 [Source:ZFIN;Acc:ZDB-GENE-030616-62]";"1747186";"1753210";"1";"protein_coding";"ENSLOCG00000014583"
"bcap31";"1";"NULL";"B cell receptor associated protein 31 [Source:ZFIN;Acc:ZDB-GENE-030616-63]";"1767715";"1776562";"1";"protein_coding";"ENSLOCG00000014585"
"slc6a8";"1";"NULL";"solute carrier family 6 member 8 [Source:ZFIN;Acc:ZDB-GENE-071024-2]";"1786831";"1836767";"-1";"protein_coding";"ENSLOCG00000014590"
"PNCK";"1";"NULL";"pregnancy up-regulated nonubiquitous CaM kinase [Source:HGNC Symbol;Acc:HGNC:13415]";"1860559";"1873219";"1";"protein_coding";"ENSLOCG00000014603"
"plxna3";"1";"NULL";"plexin A3 [Source:ZFIN;Acc:ZDB-GENE-070613-1]";"1898955";"2034526";"-1";"protein_coding";"ENSLOCG00000014612"
"idh3g";"1";"NULL";"isocitrate dehydrogenase (NAD(+)) 3 gamma [Source:ZFIN;Acc:ZDB-GENE-050417-435]";"2067330";"2073535";"1";"protein_coding";"ENSLOCG00000014632"
"ENSLOCG00000014638";"1";"NULL";"caspase-14-like [Source:NCBI gene;Acc:102695373]";"2077720";"2084593";"1";"protein_coding";"ENSLOCG00000014638"
"ENSLOCG00000014641";"1";"NULL";"NULL";"2087781";"2091572";"-1";"protein_coding";"ENSLOCG00000014641"
"ENSLOCG00000014644";"1";"NULL";"NULL";"2123129";"2221954";"1";"protein_coding";"ENSLOCG00000014644"
"iqsec2b";"1";"NULL";"IQ motif and Sec7 domain 2b [Source:ZFIN;Acc:ZDB-GENE-081105-73]";"2125913";"2191308";"1";"protein_coding";"ENSLOCG00000014645"
"ENSLOCG00000014656";"1";"NULL";"NULL";"2229117";"2243224";"-1";"protein_coding";"ENSLOCG00000014656"
"SRPK3";"1";"NULL";"SRSF protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:11402]";"2270020";"2278194";"-1";"protein_coding";"ENSLOCG00000014658"
"plxnb3";"1";"NULL";"plexin B3 [Source:ZFIN;Acc:ZDB-GENE-081104-53]";"2293407";"2316033";"-1";"protein_coding";"ENSLOCG00000014660"
"abcd1";"1";"NULL";"ATP-binding cassette, sub-family D (ALD), member 1 [Source:ZFIN;Acc:ZDB-GENE-050517-27]";"2332603";"2345160";"-1";"protein_coding";"ENSLOCG00000014676"
"si:ch211-169p10.1";"1";"NULL";"si:ch211-169p10.1 [Source:ZFIN;Acc:ZDB-GENE-081104-59]";"2351490";"2360233";"-1";"protein_coding";"ENSLOCG00000014682"
"cxxc1a";"1";"NULL";"CXXC finger protein 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1142]";"2454469";"2473434";"-1";"protein_coding";"ENSLOCG00000014684"
"zgc:113363";"1";"NULL";"zgc:113363 [Source:ZFIN;Acc:ZDB-GENE-050327-7]";"2476022";"2493388";"1";"protein_coding";"ENSLOCG00000014689"
"tfe3a";"1";"NULL";"transcription factor binding to IGHM enhancer 3a [Source:ZFIN;Acc:ZDB-GENE-010919-2]";"2506782";"2532496";"-1";"protein_coding";"ENSLOCG00000014691"
"fgd1";"1";"NULL";"FYVE, RhoGEF and PH domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-33]";"2541366";"2562999";"-1";"protein_coding";"ENSLOCG00000014698"
"gnl3l";"1";"NULL";"guanine nucleotide binding protein-like 3 (nucleolar)-like [Source:ZFIN;Acc:ZDB-GENE-040723-1]";"2582359";"2593821";"1";"protein_coding";"ENSLOCG00000014702"
"ENSLOCG00000014710";"1";"NULL";"NULL";"2599915";"2601539";"-1";"protein_coding";"ENSLOCG00000014710"
"opn1lw1";"1";"NULL";"opsin 1 (cone pigments), long-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-41]";"2601700";"2610864";"-1";"protein_coding";"ENSLOCG00000014714"
"opn1sw2";"1";"NULL";"opsin 1 (cone pigments), short-wave-sensitive 2 [Source:ZFIN;Acc:ZDB-GENE-990604-40]";"2621050";"2624669";"-1";"protein_coding";"ENSLOCG00000014721"
"mecp2";"1";"NULL";"methyl CpG binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7190]";"2654463";"2661506";"1";"protein_coding";"ENSLOCG00000014725"
"irak1";"1";"NULL";"interleukin-1 receptor-associated kinase 1 [Source:ZFIN;Acc:ZDB-GENE-071116-5]";"2687685";"2706759";"1";"protein_coding";"ENSLOCG00000014730"
"tmem187";"1";"NULL";"transmembrane protein 187 [Source:ZFIN;Acc:ZDB-GENE-090313-366]";"2717523";"2718275";"-1";"protein_coding";"ENSLOCG00000017979"
"HCFC1";"1";"NULL";"host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]";"2725708";"2754423";"1";"protein_coding";"ENSLOCG00000014733"
"si:dkey-13a21.4";"1";"NULL";"si:dkey-13a21.4 [Source:ZFIN;Acc:ZDB-GENE-040724-163]";"2758410";"2763872";"-1";"protein_coding";"ENSLOCG00000014749"
"cdk20";"1";"NULL";"cyclin-dependent kinase 20 [Source:ZFIN;Acc:ZDB-GENE-041212-84]";"2765702";"2774497";"1";"protein_coding";"ENSLOCG00000014752"
"gata1a";"1";"NULL";"GATA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-980526-268]";"2782298";"2802068";"1";"protein_coding";"ENSLOCG00000014759"
"ENSLOCG00000014762";"1";"NULL";"NULL";"2826434";"2828927";"1";"protein_coding";"ENSLOCG00000014762"
"lhfpl4b";"1";"NULL";"LHFPL tetraspan subfamily member 4b [Source:ZFIN;Acc:ZDB-GENE-110216-4]";"2845723";"2850197";"1";"protein_coding";"ENSLOCG00000014763"
"pcsk1nl";"1";"NULL";"proprotein convertase subtilisin/kexin type 1 inhibitor, like [Source:ZFIN;Acc:ZDB-GENE-090427-2]";"2855577";"2877865";"-1";"protein_coding";"ENSLOCG00000014765"
"PLP2";"1";"NULL";"proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087]";"2877209";"2890456";"1";"protein_coding";"ENSLOCG00000014766"
"sypb";"1";"NULL";"synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205]";"2940839";"2945195";"-1";"protein_coding";"ENSLOCG00000014767"
"ENSLOCG00000014770";"1";"NULL";"NULL";"2970614";"2993221";"-1";"protein_coding";"ENSLOCG00000014770"
"ENSLOCG00000014772";"1";"NULL";"NULL";"3049176";"3051058";"1";"protein_coding";"ENSLOCG00000014772"
"timm17b";"1";"NULL";"translocase of inner mitochondrial membrane 17 homolog B (yeast) [Source:ZFIN;Acc:ZDB-GENE-081104-144]";"3057486";"3062302";"-1";"protein_coding";"ENSLOCG00000014774"
"pqbp1";"1";"NULL";"polyglutamine binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030616-158]";"3064579";"3067380";"1";"protein_coding";"ENSLOCG00000014775"
"gpkow";"1";"NULL";"G patch domain and KOW motifs [Source:ZFIN;Acc:ZDB-GENE-030616-159]";"3067170";"3080560";"-1";"protein_coding";"ENSLOCG00000014776"
"magixb";"1";"NULL";"MAGI family member, X-linked b [Source:ZFIN;Acc:ZDB-GENE-081105-33]";"3081624";"3116931";"1";"protein_coding";"ENSLOCG00000014780"
"ENSLOCG00000014784";"1";"NULL";"NULL";"3153795";"3192560";"1";"protein_coding";"ENSLOCG00000014784"
"WNK3";"1";"NULL";"WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]";"3214325";"3294102";"1";"protein_coding";"ENSLOCG00000014785"
"fam120c";"1";"NULL";"family with sequence similarity 120C [Source:ZFIN;Acc:ZDB-GENE-090313-228]";"3301366";"3320579";"1";"protein_coding";"ENSLOCG00000014788"
"ENSLOCG00000014792";"1";"NULL";"NULL";"3340705";"3345254";"1";"protein_coding";"ENSLOCG00000014792"
"ENSLOCG00000014794";"1";"NULL";"NULL";"3351526";"3357112";"1";"protein_coding";"ENSLOCG00000014794"
"huwe1";"1";"NULL";"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-081104-387]";"3369073";"3412969";"1";"protein_coding";"ENSLOCG00000014797"
"ENSLOCG00000014835";"1";"NULL";"NULL";"3424087";"3426739";"1";"protein_coding";"ENSLOCG00000014835"
"ENSLOCG00000014837";"1";"NULL";"NULL";"3430975";"3432081";"1";"protein_coding";"ENSLOCG00000014837"
"ENSLOCG00000014839";"1";"NULL";"NULL";"3435855";"3436926";"1";"protein_coding";"ENSLOCG00000014839"
"ENSLOCG00000014841";"1";"NULL";"NULL";"3437588";"3441110";"1";"protein_coding";"ENSLOCG00000014841"
"l1cama";"1";"NULL";"L1 cell adhesion molecule, paralog a [Source:ZFIN;Acc:ZDB-GENE-990415-10]";"3446715";"3470737";"-1";"protein_coding";"ENSLOCG00000014844"
"ENSLOCG00000014852";"1";"NULL";"uncharacterized LOC107077402 [Source:NCBI gene;Acc:107077402]";"3543102";"3559369";"1";"protein_coding";"ENSLOCG00000014852"
"arhgap4a";"1";"NULL";"Rho GTPase activating protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-1229]";"3592389";"3612715";"-1";"protein_coding";"ENSLOCG00000014854"
"naa10";"1";"NULL";"N(alpha)-acetyltransferase 10, NatA catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-2648]";"3637606";"3644070";"-1";"protein_coding";"ENSLOCG00000014858"
"si:dkey-220o5.5";"1";"NULL";"si:dkey-220o5.5 [Source:ZFIN;Acc:ZDB-GENE-081104-376]";"3658345";"3684528";"-1";"protein_coding";"ENSLOCG00000014859"
"dmtn";"1";"NULL";"dematin actin binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-9438]";"3687680";"3704253";"-1";"protein_coding";"ENSLOCG00000014865"
"fgf17";"1";"NULL";"fibroblast growth factor 17 [Source:ZFIN;Acc:ZDB-GENE-040621-1]";"3734120";"3743527";"-1";"protein_coding";"ENSLOCG00000014874"
"npm2b";"1";"NULL";"nucleophosmin/nucleoplasmin, 2b [Source:ZFIN;Acc:ZDB-GENE-070410-125]";"3766733";"3771309";"-1";"protein_coding";"ENSLOCG00000014878"
"pbdc1";"1";"NULL";"polysaccharide biosynthesis domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040718-459]";"3773764";"3779978";"1";"protein_coding";"ENSLOCG00000014881"
"xpo7";"1";"NULL";"exportin 7 [Source:ZFIN;Acc:ZDB-GENE-060628-2]";"3780289";"3820205";"-1";"protein_coding";"ENSLOCG00000014884"
"kazald3";"1";"NULL";"Kazal-type serine peptidase inhibitor domain 3 [Source:ZFIN;Acc:ZDB-GENE-050208-155]";"3824636";"3829408";"1";"protein_coding";"ENSLOCG00000014896"
"dok2";"1";"NULL";"docking protein 2 [Source:ZFIN;Acc:ZDB-GENE-080721-4]";"3843748";"3871661";"1";"protein_coding";"ENSLOCG00000014900"
"gfra2b";"1";"NULL";"GDNF family receptor alpha 2b [Source:ZFIN;Acc:ZDB-GENE-091204-26]";"4147408";"4248995";"1";"protein_coding";"ENSLOCG00000014902"
"lzts1";"1";"NULL";"leucine zipper, putative tumor suppressor 1 [Source:ZFIN;Acc:ZDB-GENE-081104-431]";"4593311";"4608118";"1";"protein_coding";"ENSLOCG00000014910"
"atp6v1b2";"1";"NULL";"ATPase H+ transporting V1 subunit B2 [Source:ZFIN;Acc:ZDB-GENE-030711-4]";"4643861";"4660025";"-1";"protein_coding";"ENSLOCG00000014912"
"bmp1b";"1";"NULL";"bone morphogenetic protein 1b [Source:ZFIN;Acc:ZDB-GENE-060818-2]";"4665059";"4747087";"-1";"protein_coding";"ENSLOCG00000014917"
"npffr1l1";"1";"NULL";"neuropeptide FF receptor 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-091118-18]";"4765623";"4778177";"-1";"protein_coding";"ENSLOCG00000014924"
"kansl3";"1";"NULL";"KAT8 regulatory NSL complex subunit 3 [Source:ZFIN;Acc:ZDB-GENE-050809-132]";"4791232";"4824734";"-1";"protein_coding";"ENSLOCG00000014926"
"bin3";"1";"NULL";"bridging integrator 3 [Source:ZFIN;Acc:ZDB-GENE-030131-2696]";"4837080";"4879367";"-1";"protein_coding";"ENSLOCG00000014932"
"egr3";"1";"NULL";"early growth response 3 [Source:ZFIN;Acc:ZDB-GENE-040718-394]";"4909820";"4916271";"-1";"protein_coding";"ENSLOCG00000014936"
"rhobtb2a";"1";"NULL";"Rho related BTB domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-081105-67]";"5066764";"5086952";"-1";"protein_coding";"ENSLOCG00000014937"
"sorbs3";"1";"NULL";"sorbin and SH3 domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050327-1]";"5121111";"5149865";"1";"protein_coding";"ENSLOCG00000014940"
"pdlim2";"1";"NULL";"PDZ and LIM domain 2 (mystique) [Source:ZFIN;Acc:ZDB-GENE-070308-4]";"5151747";"5212815";"1";"protein_coding";"ENSLOCG00000014946"
"adgra2";"1";"NULL";"adhesion G protein-coupled receptor A2 [Source:ZFIN;Acc:ZDB-GENE-081104-363]";"5232155";"5288985";"1";"protein_coding";"ENSLOCG00000014947"
"ENSLOCG00000014952";"1";"NULL";"NULL";"5292840";"5317206";"1";"protein_coding";"ENSLOCG00000014952"
"prlhr2b";"1";"NULL";"prolactin releasing hormone receptor 2b [Source:ZFIN;Acc:ZDB-GENE-091117-9]";"5323709";"5336057";"-1";"protein_coding";"ENSLOCG00000014955"
"got1l1";"1";"NULL";"glutamic-oxaloacetic transaminase 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-060929-556]";"5367065";"5378046";"-1";"protein_coding";"ENSLOCG00000014957"
"ENSLOCG00000014960";"1";"NULL";"nucleoplasmin ATPase-like [Source:NCBI gene;Acc:102689708]";"5380190";"5385137";"-1";"protein_coding";"ENSLOCG00000014960"
"adrb3a";"1";"NULL";"adrenoceptor beta 3a [Source:ZFIN;Acc:ZDB-GENE-080917-21]";"5409925";"5423124";"-1";"protein_coding";"ENSLOCG00000014961"
"anxa4";"1";"NULL";"annexin A4 [Source:ZFIN;Acc:ZDB-GENE-030707-1]";"5506190";"5519013";"-1";"protein_coding";"ENSLOCG00000014962"
