"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"TMEM88B";"1";"TMEM88B";"transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]";"1426128";"1427787";"1";"protein_coding";"ENSG00000205116"
"VWA1";"1";"VWA1";"von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]";"1434861";"1442882";"1";"protein_coding";"ENSG00000179403"
"ATAD3C";"1";"ATAD3C";"ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]";"1449689";"1470163";"1";"protein_coding";"ENSG00000215915"
"ATAD3B";"1";"ATAD3B";"ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]";"1471765";"1497848";"1";"protein_coding";"ENSG00000160072"
"ATAD3A";"1";"ATAD3A";"ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]";"1512162";"1534685";"1";"protein_coding";"ENSG00000197785"
"TMEM240";"1";"TMEM240";"transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]";"1534778";"1540624";"-1";"protein_coding";"ENSG00000205090"
"SSU72";"1";"SSU72";"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]";"1541673";"1574863";"-1";"protein_coding";"ENSG00000160075"
"FNDC10";"1";"FNDC10";"fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]";"1598012";"1600135";"-1";"protein_coding";"ENSG00000228594"
"MIB2";"1";"MIB2";"mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]";"1615415";"1630610";"1";"protein_coding";"ENSG00000197530"
"MMP23B";"1";"MMP23B";"matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]";"1632163";"1635263";"1";"protein_coding";"ENSG00000189409"
"CDK11B";"1";"CDK11B";"cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]";"1635227";"1659012";"-1";"protein_coding";"ENSG00000248333"
"SLC35E2B";"1";"SLC35E2B";"solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]";"1659529";"1692795";"-1";"protein_coding";"ENSG00000189339"
"CDK11A";"1";"CDK11A";"cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]";"1702379";"1724357";"-1";"protein_coding";"ENSG00000008128"
"SLC35E2A";"1";"SLC35E2";"solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863]";"1724838";"1745999";"-1";"protein_coding";"ENSG00000215790"
"NADK";"1";"NADK";"NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]";"1751232";"1780457";"-1";"protein_coding";"ENSG00000008130"
"GNB1";"1";"GNB1";"G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]";"1785285";"1891117";"-1";"protein_coding";"ENSG00000078369"
"CALML6";"1";"CALML6";"calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]";"1915108";"1917296";"1";"protein_coding";"ENSG00000169885"
"TMEM52";"1";"TMEM52";"transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]";"1917590";"1919279";"-1";"protein_coding";"ENSG00000178821"
"CFAP74";"1";"CFAP74";"cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]";"1921951";"2003837";"-1";"protein_coding";"ENSG00000142609"
"GABRD";"1";"GABRD";"gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084]";"2019329";"2030758";"1";"protein_coding";"ENSG00000187730"
"PRKCZ";"1";"PRKCZ";"protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]";"2050411";"2185395";"1";"protein_coding";"ENSG00000067606"
"FAAP20";"1";"FAAP20";"FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]";"2184461";"2212720";"-1";"protein_coding";"ENSG00000162585"
"SKI";"1";"SKI";"SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]";"2228319";"2310213";"1";"protein_coding";"ENSG00000157933"
"MORN1";"1";"MORN1";"MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]";"2321253";"2391707";"-1";"protein_coding";"ENSG00000116151"
"RER1";"1";"RER1";"retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]";"2391775";"2405442";"1";"protein_coding";"ENSG00000157916"
"PEX10";"1";"PEX10";"peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]";"2403964";"2413797";"-1";"protein_coding";"ENSG00000157911"
"PLCH2";"1";"PLCH2";"phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]";"2425980";"2505532";"1";"protein_coding";"ENSG00000149527"
"PANK4";"1";"PANK4";"pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366]";"2508537";"2526611";"-1";"protein_coding";"ENSG00000157881"
"HES5";"1";"HES5";"hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]";"2528745";"2530263";"-1";"protein_coding";"ENSG00000197921"
"TNFRSF14";"1";"TNFRSF14";"TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]";"2555639";"2565382";"1";"protein_coding";"ENSG00000157873"
"PRXL2B";"1";"PRXL2B";"peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]";"2586491";"2591469";"1";"protein_coding";"ENSG00000157870"
"MMEL1";"1";"MMEL1";"membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]";"2590639";"2633016";"-1";"protein_coding";"ENSG00000142606"
"TTC34";"1";"TTC34";"tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]";"2635976";"2801717";"-1";"protein_coding";"ENSG00000215912"
"ACTRT2";"1";"ACTRT2";"actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]";"3021467";"3022903";"1";"protein_coding";"ENSG00000169717"
"PRDM16";"1";"PRDM16";"PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]";"3069168";"3438621";"1";"protein_coding";"ENSG00000142611"
"ARHGEF16";"1";"ARHGEF16";"Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]";"3454665";"3481113";"1";"protein_coding";"ENSG00000130762"
"MEGF6";"1";"MEGF6";"multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]";"3487951";"3611508";"-1";"protein_coding";"ENSG00000162591"
"TPRG1L";"1";"TPRG1L";"tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]";"3625015";"3630127";"1";"protein_coding";"ENSG00000158109"
"WRAP73";"1";"WRAP73";"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]";"3630767";"3652761";"-1";"protein_coding";"ENSG00000116213"
"TP73";"1";"TP73";"tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]";"3652516";"3736201";"1";"protein_coding";"ENSG00000078900"
"CCDC27";"1";"CCDC27";"coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]";"3746460";"3771645";"1";"protein_coding";"ENSG00000162592"
"SMIM1";"1";"SMIM1";"small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]";"3772761";"3775982";"1";"protein_coding";"ENSG00000235169"
"LRRC47";"1";"LRRC47";"leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]";"3778559";"3796498";"-1";"protein_coding";"ENSG00000130764"
"CEP104";"1";"CEP104";"centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]";"3812086";"3857214";"-1";"protein_coding";"ENSG00000116198"
"DFFB";"1";"DFFB";"DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]";"3857267";"3885429";"1";"protein_coding";"ENSG00000169598"
"C1orf174";"1";"C1orf174";"chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]";"3889125";"3900293";"-1";"protein_coding";"ENSG00000198912"
"AJAP1";"1";"AJAP1";"adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]";"4654609";"4792534";"1";"protein_coding";"ENSG00000196581"
"NPHP4";"1";"NPHP4";"nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]";"5862811";"5992473";"-1";"protein_coding";"ENSG00000131697"
"KCNAB2";"1";"KCNAB2";"potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]";"5990927";"6101193";"1";"protein_coding";"ENSG00000069424"
"CHD5";"1";"CHD5";"chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]";"6101787";"6180321";"-1";"protein_coding";"ENSG00000116254"
"AL031847.2";"1";"RP1-120G22.12";"novel transcript";"6159430";"6197757";"-1";"protein_coding";"ENSG00000285629"
"RPL22";"1";"RPL22";"ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]";"6185020";"6209389";"-1";"protein_coding";"ENSG00000116251"
"RNF207";"1";"RNF207";"ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]";"6205475";"6221299";"1";"protein_coding";"ENSG00000158286"
"ICMT";"1";"ICMT";"isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]";"6221193";"6235972";"-1";"protein_coding";"ENSG00000116237"
"HES3";"1";"HES3";"hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226]";"6244179";"6245578";"1";"protein_coding";"ENSG00000173673"
"GPR153";"1";"GPR153";"G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]";"6247353";"6261098";"-1";"protein_coding";"ENSG00000158292"
"ACOT7";"1";"ACOT7";"acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]";"6264269";"6394391";"-1";"protein_coding";"ENSG00000097021"
"HES2";"1";"HES2";"hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]";"6412418";"6424670";"-1";"protein_coding";"ENSG00000069812"
"ESPN";"1";"ESPN";"espin [Source:HGNC Symbol;Acc:HGNC:13281]";"6424776";"6461367";"1";"protein_coding";"ENSG00000187017"
"TNFRSF25";"1";"TNFRSF25";"TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]";"6460786";"6466195";"-1";"protein_coding";"ENSG00000215788"
"PLEKHG5";"1";"PLEKHG5";"pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]";"6466092";"6520061";"-1";"protein_coding";"ENSG00000171680"
"NOL9";"1";"NOL9";"nucleolar protein 9 [Source:HGNC Symbol;Acc:HGNC:26265]";"6521347";"6554513";"-1";"protein_coding";"ENSG00000162408"
"TAS1R1";"1";"TAS1R1";"taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]";"6555307";"6579755";"1";"protein_coding";"ENSG00000173662"
"ZBTB48";"1";"ZBTB48";"zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:HGNC:4930]";"6579994";"6589280";"1";"protein_coding";"ENSG00000204859"
"KLHL21";"1";"KLHL21";"kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]";"6590724";"6614607";"-1";"protein_coding";"ENSG00000162413"
"PHF13";"1";"PHF13";"PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]";"6613731";"6624030";"1";"protein_coding";"ENSG00000116273"
"THAP3";"1";"THAP3";"THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]";"6624866";"6635586";"1";"protein_coding";"ENSG00000041988"
"DNAJC11";"1";"DNAJC11";"DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]";"6634168";"6701924";"-1";"protein_coding";"ENSG00000007923"
"CAMTA1";"1";"CAMTA1";"calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]";"6785454";"7769706";"1";"protein_coding";"ENSG00000171735"
"VAMP3";"1";"VAMP3";"vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]";"7771296";"7781432";"1";"protein_coding";"ENSG00000049245"
"PER3";"1";"PER3";"period circadian regulator 3 [Source:HGNC Symbol;Acc:HGNC:8847]";"7784320";"7845177";"1";"protein_coding";"ENSG00000049246"
"UTS2";"1";"UTS2";"urotensin 2 [Source:HGNC Symbol;Acc:HGNC:12636]";"7843083";"7853512";"-1";"protein_coding";"ENSG00000049247"
"TNFRSF9";"1";"TNFRSF9";"TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]";"7915894";"7943165";"-1";"protein_coding";"ENSG00000049249"
"PARK7";"1";"PARK7";"Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]";"7954291";"7985505";"1";"protein_coding";"ENSG00000116288"
"ERRFI1";"1";"ERRFI1";"ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]";"8004404";"8026309";"-1";"protein_coding";"ENSG00000116285"
"SLC45A1";"1";"SLC45A1";"solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]";"8317826";"8344167";"1";"protein_coding";"ENSG00000162426"
"RERE";"1";"RERE";"arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]";"8352397";"8848921";"-1";"protein_coding";"ENSG00000142599"
"ENO1";"1";"ENO1";"enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]";"8861000";"8879190";"-1";"protein_coding";"ENSG00000074800"
"CA6";"1";"CA6";"carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]";"8945867";"8975092";"1";"protein_coding";"ENSG00000131686"
"SLC2A7";"1";"SLC2A7";"solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445]";"9003300";"9026345";"-1";"protein_coding";"ENSG00000197241"
"SLC2A5";"1";"SLC2A5";"solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]";"9035106";"9088478";"-1";"protein_coding";"ENSG00000142583"
"GPR157";"1";"GPR157";"G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687]";"9100305";"9129102";"-1";"protein_coding";"ENSG00000180758"
"H6PD";"1";"H6PD";"hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]";"9234775";"9271337";"1";"protein_coding";"ENSG00000049239"
"SPSB1";"1";"SPSB1";"splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]";"9292894";"9369532";"1";"protein_coding";"ENSG00000171621"
"SLC25A33";"1";"SLC25A33";"solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]";"9539465";"9585173";"1";"protein_coding";"ENSG00000171612"
"TMEM201";"1";"TMEM201";"transmembrane protein 201 [Source:HGNC Symbol;Acc:HGNC:33719]";"9588911";"9614877";"1";"protein_coding";"ENSG00000188807"
"PIK3CD";"1";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]";"9651731";"9729114";"1";"protein_coding";"ENSG00000171608"
"CLSTN1";"1";"CLSTN1";"calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]";"9729026";"9824526";"-1";"protein_coding";"ENSG00000171603"
"CTNNBIP1";"1";"CTNNBIP1";"catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]";"9848276";"9910336";"-1";"protein_coding";"ENSG00000178585"
"LZIC";"1";"LZIC";"leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:HGNC:17497]";"9922113";"9943407";"-1";"protein_coding";"ENSG00000162441"
"NMNAT1";"1";"NMNAT1";"nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]";"9943428";"9985501";"1";"protein_coding";"ENSG00000173614"
"RBP7";"1";"RBP7";"retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]";"9997206";"10016021";"1";"protein_coding";"ENSG00000162444"
"UBE4B";"1";"UBE4B";"ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]";"10032832";"10181239";"1";"protein_coding";"ENSG00000130939"
"KIF1B";"1";"KIF1B";"kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]";"10210805";"10381603";"1";"protein_coding";"ENSG00000054523"
"PGD";"1";"PGD";"phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]";"10398592";"10420511";"1";"protein_coding";"ENSG00000142657"
"CENPS-CORT";"1";"APITD1-CORT";"CENPS-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843]";"10430102";"10452153";"1";"protein_coding";"ENSG00000251503"
"CENPS";"1";"CENPS";"centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]";"10430433";"10442808";"1";"protein_coding";"ENSG00000175279"
"CORT";"1";"CORT";"cortistatin [Source:HGNC Symbol;Acc:HGNC:2257]";"10449719";"10451902";"1";"protein_coding";"ENSG00000241563"
"DFFA";"1";"DFFA";"DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]";"10456522";"10472529";"-1";"protein_coding";"ENSG00000160049"
"PEX14";"1";"PEX14";"peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]";"10472288";"10630758";"1";"protein_coding";"ENSG00000142655"
"CASZ1";"1";"CASZ1";"castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]";"10636604";"10796650";"-1";"protein_coding";"ENSG00000130940"
"C1orf127";"1";"C1orf127";"chromosome 1 open reading frame 127 [Source:HGNC Symbol;Acc:HGNC:26730]";"10946471";"10982037";"-1";"protein_coding";"ENSG00000175262"
"TARDBP";"1";"TARDBP";"TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]";"11012344";"11026420";"1";"protein_coding";"ENSG00000120948"
"AL109811.3";"1";"RP4-635E18.9";"novel protein";"11012662";"11030528";"1";"protein_coding";"ENSG00000277726"
"MASP2";"1";"MASP2";"mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]";"11026523";"11047239";"-1";"protein_coding";"ENSG00000009724"
"SRM";"1";"SRM";"spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]";"11054584";"11060020";"-1";"protein_coding";"ENSG00000116649"
"EXOSC10";"1";"EXOSC10";"exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]";"11066618";"11099869";"-1";"protein_coding";"ENSG00000171824"
"MTOR";"1";"MTOR";"mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]";"11106535";"11262551";"-1";"protein_coding";"ENSG00000198793"
"ANGPTL7";"1";"ANGPTL7";"angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]";"11189355";"11195981";"1";"protein_coding";"ENSG00000171819"
"UBIAD1";"1";"UBIAD1";"UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]";"11273206";"11296049";"1";"protein_coding";"ENSG00000120942"
"DISP3";"1";"DISP3";"dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]";"11479155";"11537551";"1";"protein_coding";"ENSG00000204624"
"FBXO2";"1";"FBXO2";"F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]";"11637018";"11655785";"-1";"protein_coding";"ENSG00000116661"
"FBXO44";"1";"FBXO44";"F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]";"11654375";"11663327";"1";"protein_coding";"ENSG00000132879"
"FBXO6";"1";"FBXO6";"F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]";"11664200";"11674354";"1";"protein_coding";"ENSG00000116663"
"MAD2L2";"1";"MAD2L2";"mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]";"11674480";"11691650";"-1";"protein_coding";"ENSG00000116670"
"DRAXIN";"1";"DRAXIN";"dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]";"11691710";"11725857";"1";"protein_coding";"ENSG00000162490"
"AGTRAP";"1";"AGTRAP";"angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]";"11736084";"11754802";"1";"protein_coding";"ENSG00000177674"
"C1orf167";"1";"C1orf167";"chromosome 1 open reading frame 167 [Source:HGNC Symbol;Acc:HGNC:25262]";"11761787";"11789585";"1";"protein_coding";"ENSG00000215910"
"MTHFR";"1";"MTHFR";"methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]";"11785723";"11806920";"-1";"protein_coding";"ENSG00000177000"
"CLCN6";"1";"CLCN6";"chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]";"11806096";"11848079";"1";"protein_coding";"ENSG00000011021"
"NPPA";"1";"NPPA";"natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]";"11845709";"11848345";"-1";"protein_coding";"ENSG00000175206"
"NPPB";"1";"NPPB";"natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]";"11857464";"11858945";"-1";"protein_coding";"ENSG00000120937"
"KIAA2013";"1";"KIAA2013";"KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]";"11919591";"11926428";"-1";"protein_coding";"ENSG00000116685"
"PLOD1";"1";"PLOD1";"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]";"11934205";"11975538";"1";"protein_coding";"ENSG00000083444"
